---,Entities
False,"(""red"",""ruby"")"
1,"(""green"",""emerald"",""lime"")"
2,"(""blue"",""sapphire"",""teal"",""lightblue"")"
3,"(""yellow"",""gold"",""golden"")"
4,"(""orange"")"
5,"(""brown"")"
6,"(""black"")"
7,"(""white"")"
8,"(""pink"",""magenta"")"
9,"(""purple"",""amethyst"")"
10,"(""grey"",""gray"",""silver"")"
11,"(""big"")"
12,"(""small"")"
